Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
16.2 GET /content-repo/internal/api/v1/Contents('{value}')/Data/$value,1603,34,34,40,42,47,24,59,0.00%,5.4,9.4,4.61
17.1 GET bundle-service/internal/api/v1/Bundles/Installed,688,43,43,47,48,58,37,176,0.00%,2.3,2.2,7.51
17.2 GET bundle-service/internal/api/v1/BundleInstallations,688,45,46,49,51,61,39,190,0.00%,2.3,2.6,6.69
17.3 GET bundle-service/internal/api/v1/BundleInstallations('{bundleExternalId}'),683,28,29,33,35,44,21,58,0.00%,2.3,2.0,4.44
Prerequisite_MigrationIdentitylogin_10T,3190,60,59,73,75,82,43,114,0.00%,10.6,200.2,9.93
Prerequisite_MigrationService_UploadImportfile_10T,1596,323,305,363,420,915,197,2556,0.00%,5.3,6.1,119.75
19.1 POST /migration/internal/api/v1/ImportJobs('{Upload_Job_id}')/OData.migration_service.StartImportJob?relaxChecksum=true&vcsCheckout=false&checkoutIfNeeded=true&allowContainersWithoutAsset=true,1594,336,321,376,418,831,203,2663,0.00%,5.3,425.1,133.38
19.2 GET /migration/internal/api/v1/ImportJobs('{Upload_Job_id}'),1594,22,20,26,31,73,12,897,0.00%,5.3,7.7,32.70
19.3 GET /migration/internal/api/v1/ImportJobs('{Upload_Job_id}')/ImportObjects,1593,33,30,38,47,103,18,895,0.00%,5.3,421.6,37.75
Prerequisite_GET /saas/public/core/v3/objects,1592,805,786,1002,1033,1106,386,1467,0.00%,5.3,149.5,152.78
19.4 POST /migration/internal/api/v1/ExportJobs?publishNotifications=false&includeTagInformation=false,1587,186,173,206,233,530,136,2037,0.00%,5.3,7.4,85.83
19.5 GET /migration/internal/api/v1/ExportJobs('{ExportId}')/ExportObjects,1587,26,24,30,38,81,14,581,0.00%,5.3,10.5,22.08
TOTAL,2544040,32,19,68,77,151,0,18945,18.12%,497.5,4300.4,132.80
